GLHDID,BottleID,Tributary_name,Watershed_area ,Strahler_order,Agriculture,Urban,Forest,Wetland,Herbaceous,Shrubland,Barren,Open_water,Saturated_K,Drift_thickness ,Igneous,Carbonate,Metamorphic,Iron_formation,Sandstone,Shale,Bedrock_water,DOC,SUVA,E2E3,Flow,Discharge,Load,Yield
539,60,Tobacco River,137.2095,3,0.008527106,2.054376701,63.05860746,31.15607884,0.741858253,2.720146929,0,0.26040471,0.517910651,4.898052189,15.72857565,0,0,0,84.27142435,0,0,12.51044463,3.61,5.202672606,1.475136073,61958722.32,775.1311649,5.649052115
537,61,Winters Creek,10.1394,1,0,1.624356471,60.27871472,24.44523345,8.068524765,5.574294337,0.008876265,0,0.769748886,6.653561173,0,0,0,0,100,0,0,17.14585034,3.37,5.649056604,0.032687205,4220074.96,72.35677371,7.137925872
535,62,Big Betsy River,9.3483,1,0,4.322711081,65.89005488,22.42225859,0.885722538,6.459998075,0.019254838,0,0.467452738,5.453448772,0,0,0,0,100,0,0,16.99858329,3.68,5.339901478,0.039228283,3835143.73,65.19201003,6.974256637
533,63,Little Betsy River,4.9518,2,0,0.654307525,91.7302799,7.433660487,0,0.127226463,0.054525627,0,0.435943537,8.671560025,0,0,0,0,100,0,0,5.767016304,3.91,4.57254902,0.011638185,1983453.33,11.43860769,2.311184965
531,64,Mendota Canal,102.4002,3,0,3.118353284,61.3035912,22.4314015,0.586229324,0.917576333,0.041308513,11.60153984,0.538207776,7.38168835,35.04378715,0,0,0,64.95621285,0,0,5.877817227,2.66,6.636363636,0.068986457,35887545.09,210.9404307,2.060726103
527,65,Montreal River,114.9912,2,0,2.991359339,66.81172124,25.37411558,0.933723624,0.897720869,0.014870703,2.976488636,0.600438412,1.545818686,98.6444074,1.355592602,0,0,0,0,0,5.386927062,3.47,5.572254335,0.123649874,37622031.04,202.6671371,1.763463181
519,66, ,40.9932,3,0.028541319,3.53473259,79.66979889,12.98630017,0.294195135,0.794765961,0,2.691665935,0.482236436,1.396059298,54.44166337,45.55833663,0,0,0,0,0,6.497040108,2.6,7.792792793,0.033413906,11200523.13,72.77024802,1.775987246
517,67,Silver River,30.9411,2,0.049448791,2.033217953,73.53617034,16.57988889,2.597515925,1.852875302,0,3.350882806,0.588157999,1.509600047,43.08734984,56.91265016,0,0,0,0,0,6.895786082,1.31,5.284090909,0.068147963,9020047.18,62.2003158,2.011509789
515,68,Cedar Creek,7.767,1,0.208574739,1.819235226,80.03476246,14.7161066,0.753186559,0.33603708,0,2.132097335,0.53630934,1.268361311,86.83661645,13.16338355,0,0,0,0,0,6.788132751,3.67,4.313131313,0.032495483,2363580.21,16.0442962,2.066268777
513,69,Eliza Creek,9.2214,1,0,5.631465938,78.3232481,11.56548897,3.347647863,1.132149131,0,0,0.647816185,1.088571438,79.35779817,20.64220183,0,0,0,0,0,8.521571091,2.66,5.172566372,2.735552608,2807609.73,23.92524591,2.594056748
511,70,Owl Creek,5.0031,1,0,2.212628171,67.6380644,22.59399173,4.461234035,0.431732326,0,2.662349343,0.730457691,0.863600012,79.19740867,20.80259133,0,0,0,0,0,9.415020511,5.3,3.454301075,2.160828602,1560909.89,14.69599866,2.938932101
509,71,Garden City Creek,5.9652,1,0,3.530476765,83.31321666,11.36089318,1.372963186,0.362100181,0.06035003,0,0.621718956,0.961292314,95.83584792,4.164152082,0,0,0,0,0,7.393774283,2.3,6.470588235,0.078392963,1938612.08,14.33366016,2.401653472
499,72,Gratiot River,44.9892,2,0.142034088,3.442826278,67.82427783,23.32759862,2.100504121,2.664639513,0.400096023,0.098023526,0.696275829,2.751573644,90.4705694,8.823176343,0,0,0,0.706254252,0,6.227163689,2.53,5.5,0.051371566,13279746.53,82.6951554,1.838948479
489,73,Muggun Creek,15.0939,2,7.912467951,12.2711824,44.80949258,31.1072685,0.649931429,1.109057301,0.17888021,1.961719635,1.417766766,7.580671073,46.18916985,36.91555344,0,0,13.78816794,3.107108779,0,5.269268738,2.38,6.228571429,0.004941892,5381046.96,28.35418254,1.878780004
487,74, ,3.7611,2,13.59176837,4.020100503,72.50538406,7.824838478,0.143575018,1.41182101,0.430725054,0.071787509,1.064647529,27.77265934,8.161799904,21.39779799,0,0,58.64049785,11.79990426,0,4.75590149,2.4,4.916666667,0.164344228,1397686.01,6.647256984,1.768893519
578,75, ,39.1869,3,9.156886613,5.684297559,47.0636871,32.61064284,1.60079006,0.498380836,0.3904366,2.99487839,0.817521214,16.87660139,37.68951576,18.23026739,0,0,37.99733529,6.082881558,0,3.573179513,1.6,5.120689655,0.087239682,15704518.27,56.11506294,1.430711034
574,76,Swedetown Creek,9.8892,1,2.384419367,13.95158355,52.41172188,25.80997452,1.128503822,3.048780488,1.23771387,0.027302512,1.016639124,2.365828613,37.46130031,40.93971954,0,0,2.913859042,18.68512111,0,2.923597845,1.19,5.774193548,0.36437169,4312811.81,12.60892732,1.273450885
582,77,Cole Creek,20.8089,2,6.45733316,5.371739977,63.87699494,9.420007785,8.040309675,5.172786644,1.193719995,0.467107824,1.311240082,8.38388159,9.610310973,26.72029756,0,0,52.78750919,10.88188227,0,2.071891554,0.93,5.444444444,0.124438576,9170277.64,18.99982079,0.912228648
580,78,Schlot Creek,31.8357,3,13.58097984,3.598790038,59.34187092,14.55064597,4.944449156,2.165493455,1.614225539,0.203545077,1.48591258,28.80598173,0,0,0,0,100,0,0,6.056529497,0.97,5.350877193,2.787698346,12959371.95,78.48881848,2.46684678
481,79,Salmon Trout River,110.2437,4,1.124962243,0.80086209,80.26499473,14.96656952,1.546210804,0.553501016,0.086535557,0.656364037,1.459457025,9.331303553,12.51010262,14.2334664,0,0,69.52234005,3.734090928,0,3.155748227,2.74,5.361445783,0.013554277,41622957.28,131.3515736,1.193070851
471,80,Elm River,63.4968,3,1.01768908,1.756151491,84.67655063,8.844540197,0.840514798,2.239482935,0.017008731,0.608062139,1.289458409,14.75541601,30.98282118,14.7975961,0,0,51.69945572,2.520126999,0,3.49555194,1.58,4.931034483,0.568443175,22420476.4,78.37193976,1.235836568
469,81,South Branch Elm River,11.9052,2,6.932264893,3.129724826,79.2636831,9.721802238,0.491381917,0.438463865,0.015119444,0.007559722,1.134107983,15.86179232,0,0,0,0,100,0,0,14.76107031,3.85,4.332357247,0.341647804,4203287.35,62.04502017,5.211212021
467,82,Little Elm River,20.0673,2,5.085885994,1.457595192,84.87240436,7.947257479,0.304973763,0.327398305,0.004484908,0,1.037596426,16.42403106,0,5.395344665,0,0,93.38924519,1.215410145,0,7.437714419,2.79,5.647368421,4.424457462,7064431.65,52.54322516,2.619155117
465,83, ,3.3804,1,9.132055378,5.138445154,82.32161874,2.848775293,0,0.532481363,0,0.026624068,0.40315383,14.32560037,0,0,0,0,100,0,0,8.638744786,2.83,5.408510638,0.104398694,1171089.57,10.11674389,2.993200171
459,84,Misery River,134.5338,4,0.521801956,1.06969401,88.74379524,5.763235707,0.626831324,0.735874553,0.006689769,2.532077441,0.801039196,12.50586502,27.81271324,14.45190725,0,0,55.98065319,1.754726322,0,6.526688945,1.15,5.450704225,1.278137311,46122997.66,301.0304589,2.238717517
445,85,Firesteel River,223.1136,3,3.547340906,2.216180457,83.6819898,6.09510133,1.601426359,2.513069575,0.048809216,0.296082354,0.659554388,10.65403726,24.61840067,7.105573125,0,0,67.33695301,0.93907319,0,5.593693404,2.87,5.587837838,0.02270313,68990521.6,385.9118256,1.728523119
443,86,Flintsteel River,166.1292,3,5.129802587,3.207142393,77.70710989,3.863739788,2.594968254,7.321711054,0.083970789,0.091555247,0.370975395,10.63871001,19.83985958,4.789043708,0,0,73.41159772,1.959498992,0,10.81378149,2.65,6.132780083,0.018066087,51171222.01,553.3544134,3.329703086
441,87,Bear Creek,19.8018,2,3.949640942,2.231615308,73.66148532,3.740569039,1.472593401,14.81228979,0.040905372,0.090900827,0.312222584,13.54623816,0,0,0,0,100,0,0,9.371080375,1.25,3.890322581,0.542035286,5991743.11,56.14910628,2.835228765
439,88,Paddys Creek,29.1708,3,14.15525114,5.33752931,70.32271998,3.196347032,1.231025546,5.609033691,0.077131926,0.070961372,0.355789801,14.04218962,0,0,0,0,100,0,0,9.16602641,2.97,5.474708171,0.022236478,8616075.15,78.97517235,2.708510192
437,89,Ontonagon River,3598.2639,6,3.442835307,2.598328044,68.96113151,17.40266744,1.190048901,2.182302415,0.070859172,4.151827219,0.542376852,17.57307572,11.19887566,1.600271731,10.60846593,3.418748692,71.6317194,0.072610016,1.469308574,7.036394516,2.38,5.897260274,0.105265605,1036377999,7292.364467,2.027672598
435,90,Dreiss Creek,12.3129,3,8.420437103,5.452817776,68.38681383,7.404429501,3.515824867,6.35918427,0.014618814,0.44587384,0.417116484,14.35100013,0,0,0,0,100,0,0,15.83028028,3.66,4.817307692,0.239842995,3446424.27,54.55786221,4.430873007
433,91,Weigel Creek,15.6204,3,10.98755474,3.318737036,54.28094031,6.355150956,3.935238534,20.95528924,0.005761696,0.161327495,0.35472336,13.1431867,0,0,0,0,100,0,0,12.3223928,3.11,5.388586957,0.049916803,4350864.52,53.61306168,3.431579917
431,92,Potato River,57.6288,3,0.317028986,1.446151924,85.60407296,1.927161419,4.885057471,5.659670165,0.104635182,0.056221889,0.365137479,11.01283755,54.19321589,10.50568466,0,0,32.06209395,3.239005497,0,6.747121958,2.65,5.7625,0.011570451,15909910,107.3461031,1.863510822
429,93,Floodwood River,15.7716,3,0.952978772,1.272540516,76.24971468,5.369778589,0.285322986,15.73270943,0.022825839,0.114129194,0.327239369,10.83091058,0.233964848,4.850490756,0,0,93.16366126,1.751883132,0,10.69660779,2.81,5.927480916,0.738036289,4326893.88,46.28308681,2.935514757
427,94,Cranberry River,50.9868,3,0.656640542,1.694556238,87.41968509,3.655652051,2.114664972,4.409376545,0.040598743,0.008825814,0.329226759,9.432202065,71.17842265,5.689119537,0,0,22.11042858,1.022029231,0,8.660714853,2.79,5.647058824,1.328831128,13762019.89,119.1889301,2.337449933
425,95,Little Cranberry River,18.4014,3,2.577521276,1.428152206,86.86784701,4.406729923,0.601584662,4.064364668,0,0.053800254,0.339120643,8.7073946,1.951481952,11.00948841,0,0,80.7933092,6.245720434,0,10.70393115,2.69,6.131687243,0.044388238,4924258.95,52.70892871,2.863345762
423,96,Town Line Creek,12.9015,3,4.025113359,5.448203697,83.52982211,2.455528427,2.023020579,2.504359958,0.013951866,0,0.323614277,8.04671995,3.522846181,10.24066969,0,0,81.70212766,4.53435647,0,19.7775691,3.59,4.330254042,9.138716912,3422505.39,67.68883692,5.24723146
421,97,Halfway Creek,30.0447,3,1.386933469,2.719947279,90.36036306,1.18922805,1.051433364,3.265134949,0.014977683,0.011982147,0.340985841,7.126385942,13.42000419,7.135368301,0,0,75.95482731,3.489800198,0,10.29382322,2.96,5.2996633,0.096488637,7931622.26,81.64671734,2.71649885
419,98,Duck Creek,21.2103,3,0,1.260236772,87.12182289,4.132897696,1.773666568,5.673187084,0.016972886,0.021216107,0.321495018,6.074979486,6.653371239,1.892476768,0,0,90.18118556,1.272966436,0,10.17664952,2.84,5.28975265,0.078128784,5507956.94,56.05254735,2.64357419
